#,Clubes,Despesas,Entradas,Receitas,Saídas,Saldo
1,Chelsea FC,"96,45 M €",28,"32,40 M €",27,"-64,05 M €"
2,Manchester City FC,"91,05 M €",37,"31,20 M €",40,"-59,85 M €"
3,FC Liverpool,"66,53 M €",24,"22,90 M €",19,"-43,63 M €"
4,FC Arsenal,"65,48 M €",41,"78,29 M €",30,"12,82 M €"
5,Manchester United FC,"62,30 M €",23,"14,47 M €",24,"-47,84 M €"
6,AFC Sunderland,"28,25 M €",37,"26,33 M €",33,"-1,93 M €"
7,Queens Park Rangers,"26,23 M €",45,"2,80 M €",43,"-23,43 M €"
8,Newcastle United,"26,05 M €",32,"16,04 M €",30,"-10,01 M €"
9,Stoke City,"24,80 M €",26,"1,99 M €",27,"-22,82 M €"
10,Blackburn Rovers FC,"20,55 M €",27,"40,25 M €",28,"19,70 M €"
11,Aston Villa FC,"20,34 M €",21,"43,75 M €",27,"23,41 M €"
12,FC Fulham,"18,35 M €",23,"7,67 M €",16,"-10,68 M €"
13,Bolton Wanderers,"15,60 M €",25,"16,33 M €",23,730 mil €
14,Norwich City,"15,25 M €",22,500 mil €,21,"-14,75 M €"
15,Swansea City AFC,"12,85 M €",23,455 mil €,22,"-12,40 M €"
16,Wigan Athletic,"12,38 M €",26,"11,29 M €",16,"-1,09 M €"
17,Wolverhampton Wanderers,"12,05 M €",34,"2,60 M €",34,"-9,45 M €"
18,Tottenham Hotspur,"9,45 M €",44,"43,25 M €",38,"33,80 M €"
19,West Bromwich Albion,"9,08 M €",32,"11,12 M €",32,"2,04 M €"
20,FC Everton,"7,20 M €",21,"26,80 M €",19,"19,60 M €"
