#,Clubes,Despesas,Entradas,Receitas,Saidas,Saldo
1,Man United ,"195,35",32,"49,29",32,"-146,06"
2,Liverpool ,"151,43",33,"99,27",25,"-52,16"
3,Chelsea ,"137,7",57,"144,85",49,"7,15"
4,Arsenal ,"118,98",22,"27,8",23,"-91,18"
5,Southampton ,"96,04",27,"123,83",27,"27,79"
6,Man City ,"88,3",22,"30,63",20,"-57,68"
7,Tottenham ,"48,47",25,"44,15",27,"-4,32"
8,Hull ,"48,23",32,"18,7",29,"-29,53"
9,Newcastle ,"45,02",32,"23,61",29,"-21,41"
10,QPR ,"43,54",36,"26,04",39,"-17,5"
11,Swansea ,"41,53",28,"61,89",30,"20,36"
12,Everton ,"40,16",19,"1,9",17,"-38,26"
13,West Ham ,"35,15",26,"4,4",27,"-30,75"
14,Crystal Palace ,"31,28",43,"2,87",43,"-28,41"
15,West Brom ,"24,88",18,"2,3",20,"-22,58"
16,Leicester ,"22,86",31,-,25,"-22,86"
17,Sunderland ,"22,62",24,"7,25",33,"-15,37"
18,Aston Villa ,"13,45",34,"1,32",33,"-12,14"
19,Burnley ,"12,62",24,-,23,"-12,62"
20,Stoke ,"1,8",21,"3,8",22,2
