#,Clubes,Despesas,Entradas,Receitas,Sai­das,Saldo
1,Man City ,"208,3",28,"67,44",24,"-140,86"
2,Man United ,156,22,"102,07",21,"-53,93"
3,Liverpool ,"125,4",29,"90,55",24,"-34,85"
4,Newcastle ,"107,91",28,"4,63",25,"-103,28"
5,Chelsea ,"90,5",54,"87,49",39,"-3,01"
6,Watford ,"83,53",39,"9,75",32,"-73,78"
7,Tottenham ,71,12,"87,58",22,"16,58"
8,Aston Villa ,"66,45",32,"64,7",32,"-1,75"
9,Sunderland ,"66,05",33,"10,5",28,"-55,55"
10,Southampton ,"60,1",16,"52,7",18,"-7,4"
11,Bournemouth ,"55,11",33,"0,65",33,"-54,46"
12,Stoke ,"53,65",15,"23,2",16,"-30,45"
13,West Ham ,"52,7",27,"18,52",30,"-34,19"
14,Leicester ,"49,9",27,"9,45",33,"-40,45"
15,Everton ,"48,9",21,11,18,"-37,9"
16,Norwich ,"47,55",35,"21,49",32,"-26,06"
17,West Brom ,"42,9",12,"12,92",13,"-29,98"
18,Crystal Palace ,"28,8",21,"5,4",26,"-23,4"
19,Arsenal ,"26,5",15,"2,5",12,-24
20,Swansea ,"21,81",24,"16,81",25,"-5,01"
