#,Clubes,Despesas,Entradas,Receitas,Sai­das,Saldo
1,Man City ,317.5,40,91.35,34,-226.15
2,Chelsea ,260.6,45,200.6,30,-60
3,Everton ,203.2,28,126.48,21,-76.72
4,Man United ,198.4,14,45.5,11,-152.9
5,Liverpool ,173.88,15,194.5,14,20.62
6,Arsenal ,152.85,17,156.2,17,3.35
7,Tottenham ,121.5,15,103.8,11,-17.7
8,Leicester ,87.85,19,47.9,15,-39.95
9,Swansea ,73.39,24,81.1,25,7.72
10,Watford ,71.4,36,16.74,30,-54.66
11,Brighton ,64.5,25,0,21,-64.5
12,Southampton ,61.25,13,98.35,14,37.1
13,Stoke ,57.7,19,35.14,18,-22.56
14,West Ham ,56.8,18,69.02,23,12.22
15,Huddersfield ,56.75,24,5.86,20,-50.9
16,West Brom ,53.5,13,2.05,10,-51.45
17,Crystal Palace ,48.95,16,3,20,-45.95
18,Newcastle ,44.3,30,19.52,30,-24.78
19,Burnley ,35.74,18,50,19,14.26
20,Bournemouth ,34.3,19,0,16,-34.3
